verb,prep,case,trans,sentence
denken,an,Akkusativ,to think of,"Ich denke oft an meinen letzten Urlaub."
sich erinnern,an,Akkusativ,to remember,"Erinnert ihr euch an den Namen des Lehrers?"
sich gewöhnen,an,Akkusativ,to get used to,"Ich habe mich an das deutsche Wetter gewöhnt."
glauben,an,Akkusativ,to believe in,"Glaubst du an Wunder?"
sich halten,an,Akkusativ,to stick to (rules),"Bitte halten Sie sich an die Regeln."
sich wenden,an,Akkusativ,to turn to (someone for help),"Bei Fragen wenden Sie sich bitte an den Support."
arbeiten,an,Dativ,to work on,"Wir arbeiten an einer Lösung für das Problem."
erkennen,an,Dativ,to recognize by,"Ich habe ihn an seiner Stimme erkannt."
leiden,an,Dativ,to suffer from (disease),"Er leidet an einer schweren Grippe."
teilnehmen,an,Dativ,to participate in,"Haben Sie an der Besprechung teilgenommen?"
zweifeln,an,Dativ,to doubt,"Ich zweifle nicht an deiner Ehrlichkeit."
mangeln,an,Dativ,to lack,"Es mangelt uns an qualifizierten Mitarbeitern."
achten,auf,Akkusativ,to pay attention to,"Achten Sie bitte auf die Stufen!"
antworten,auf,Akkusativ,to answer,"Er hat nicht auf meine E-Mail geantwortet."
aufpassen,auf,Akkusativ,to look after/watch,"Kannst du kurz auf meine Tasche aufpassen?"
sich beziehen,auf,Akkusativ,to refer to,"Ich beziehe mich auf Ihr Schreiben vom 12. Mai."
sich freuen (Zukunft),auf,Akkusativ,to look forward to,"Wir freuen uns auf die Zusammenarbeit."
hoffen,auf,Akkusativ,to hope for,"Die Bauern hoffen auf Regen."
ankommen,auf,Akkusativ,to depend on (variable),"Es kommt auf das Wetter an, ob wir grillen."
sich konzentrieren,auf,Akkusativ,to concentrate on,"Seid leise, ich muss mich auf den Text konzentrieren."
reagieren,auf,Akkusativ,to react to,"Wie hat er auf die Nachricht reagiert?"
schimpfen,auf,Akkusativ,to rant about/scold,"Alle schimpfen auf die hohen Benzinpreise."
sich verlassen,auf,Akkusativ,to rely on,"Auf meine Freunde kann ich mich immer verlassen."
sich vorbereiten,auf,Akkusativ,to prepare for,"Hast du dich gut auf die Prüfung vorbereitet?"
warten,auf,Akkusativ,to wait for,"Ich warte auf den Bus."
verzichten,auf,Akkusativ,to do without,"Ich kann nicht auf Schokolade verzichten."
bestehen,aus,Dativ,to consist of,"Der Kurs besteht aus zwei Teilen."
schließen,aus,Dativ,to conclude from,"Was schließen Sie aus diesem Verhalten?"
danken,für,Akkusativ,to thank for,"Ich danke Ihnen für Ihre schnelle Antwort."
sich entscheiden,für,Akkusativ,to decide in favor of,"Er hat sich für das billigere Auto entschieden."
sich entschuldigen,für,Akkusativ,to apologize for,"Ich möchte mich für die Verspätung entschuldigen."
halten,für,Akkusativ,to consider as,"Ich halte das für eine gute Idee."
sich interessieren,für,Akkusativ,to be interested in,"Interessierst du dich für Geschichte?"
kämpfen,für,Akkusativ,to fight for,"Die Arbeiter kämpfen für höhere Löhne."
sorgen,für,Akkusativ,to ensure/take care of,"Die Musik sorgte für gute Stimmung."
protestieren,gegen,Akkusativ,to protest against,"Viele Menschen protestieren gegen das Gesetz."
sich wehren,gegen,Akkusativ,to defend oneself against,"Du musst dich gegen diese Kritik wehren."
verstoßen,gegen,Akkusativ,to violate (law),"Das verstößt gegen die Regeln."
geraten,in,Akkusativ,to get into (trouble/situation),"Er ist in Schwierigkeiten geraten."
sich verlieben,in,Akkusativ,to fall in love with,"Sie hat sich in ihren Nachbarn verliebt."
anfangen,mit,Dativ,to start with,"Wann fangen wir mit dem Essen an?"
aufhören,mit,Dativ,to stop doing something,"Hör bitte mit dem Lärm auf!"
